action,description,details,directory,countryCode,owaspCategory,applicationId,applicationName,tenantId,tenantName,example,extension,host,method,paramName,paramType,paramValue,params,passive,patternId,protocol,receivedTimeStamp,receivedTimeFormatted,refineDate,refineDateFormatted,request,ruleId,severity,externalIp,sourcePort,targetModule,protection,title,transId,uri,violationCategory,violationType,vulnData
Reported,,"AllowList Security Filter intercepted a malicious request. Users are forbidden to access the requested page.
Method: GET.
No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,CH,A1,56196f49-c9b9-44e9-b915-c736c574a5b0,testNewApp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,*.env,66.22.80.179,GET,,,,,TRUE,,HTTP,1.74E+12,13/03/2025 9:41,,,"GET /.env HTTP/1.1
Host: 66.22.80.179
X-RDWR-IP: 35.216.252.127
X-RDWR-PORT: 53656
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 56196f49-c9b9-44e9-b915-c736c574a5b0
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr
Accept-Encoding: identity

",,High,35.216.252.127,36038,AllowList,Allowed File Extension,Access denied due to malicious request,1192093564,/.env,Access Control,URL Access Violation,
Reported,PHP frameworks sensetive file,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10756
Description: PHP frameworks sensetive file (Severity: Medium)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,CH,A1,56196f49-c9b9-44e9-b915-c736c574a5b0,testNewApp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.80.179,GET,,,,N/A,TRUE,10756,HTTP,1.74E+12,13/03/2025 9:41,,,"GET /.env HTTP/1.1
Host: 66.22.80.179
X-RDWR-IP: 35.216.252.127
X-RDWR-PORT: 53656
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 56196f49-c9b9-44e9-b915-c736c574a5b0
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr
Accept-Encoding: identity

",,High,35.216.252.127,36038,Vulnerabilities,Known Attack Types,Pattern Violation Detected,1192093564,/.env,Access Control,Predictable Resource Location,/.env
Reported,There was an attempt to retrieve Application sensitive files.,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
9769
Description: There was an attempt to retrieve Application sensitive files. (Severity: Medium)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,CH,A1,56196f49-c9b9-44e9-b915-c736c574a5b0,testNewApp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.80.179,GET,,,,N/A,TRUE,9769,HTTP,1.74E+12,13/03/2025 9:41,,,"GET /config.json HTTP/1.1
Host: 66.22.80.179
X-RDWR-IP: 35.216.252.127
X-RDWR-PORT: 53652
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 56196f49-c9b9-44e9-b915-c736c574a5b0
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr
Accept-Encoding: identity

",,High,35.216.252.127,38680,Vulnerabilities,Known Attack Types,Pattern Violation Detected,1224302990,/config.json,Access Control,URL Access Violation,config.json
Reported,There was an attempt to retrieve server status and statistics from your server.,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
6529
Description: There was an attempt to retrieve server status and statistics from your server. (Severity: Medium)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,CH,A2,56196f49-c9b9-44e9-b915-c736c574a5b0,testNewApp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.80.179,GET,,,,N/A,TRUE,6529,HTTP,1.74E+12,13/03/2025 9:41,,,"GET /server-status HTTP/1.1
Host: 66.22.80.179
X-RDWR-IP: 35.216.252.127
X-RDWR-PORT: 53636
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 56196f49-c9b9-44e9-b915-c736c574a5b0
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr
Accept-Encoding: identity

",,High,35.216.252.127,52972,Vulnerabilities,Known Attack Types,Pattern Violation Detected,1192093563,/server-status,Information Leakage,Server Information Leakage,/server-status
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/.git/,CH,A1,56196f49-c9b9-44e9-b915-c736c574a5b0,testNewApp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.80.179,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:41,,,"GET /.git/config HTTP/1.1
Host: 66.22.80.179
X-RDWR-IP: 35.216.252.127
X-RDWR-PORT: 53630
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 56196f49-c9b9-44e9-b915-c736c574a5b0
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr
Accept-Encoding: identity

",,High,35.216.252.127,34262,Vulnerabilities,Known Attack Types,Pattern Violation Detected,1224302989,/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"An attempt has been made to compare values using any of the following comparison operators: !, %3C3C, =, %3E3E, and NOT.","Database Security Filter intercepted a malicious request with a submitted parameter name/value, which includes a harmful expression.

Rule ID: ATCOCO
Details: an attempt has been made to compare values using any of the following comparison operators: !, &lt;, =, &gt;, and not.
Example: D'&gt;='DS
No Src Page: might be manual hacking attempt !
Sus.Value: 61, 2:

Authenticated as Public
",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,D'%3E3E='DS,,167.86.50.225,POST,comment,Body URL Encoded,test' AND (SELECT 6133 FROM (SELECT(SLEEP(6)))nOqb) AND 'RiUU'=,,TRUE,ATCOCO,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46928
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (ZZ; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,43394,Database,Known Attack Types,Parameter Validation Failure,804714608,/contactus.php,Injections,SQL Injection,
Reported,"An attempt has been made to retrieve rows from the database and to allow the selection of one or many rows or columns from one or many tables, using the SELECT FROM statement. For further information visit: http://msdn2.microsoft.com/en-us/library/ms189499(SQL.90).aspx","Database Security Filter intercepted a malicious request with a submitted parameter name/value, which includes a harmful expression.

Rule ID: S1SELA
Details: an attempt has been made to retrieve rows from the database and to allow the selection of one or many rows or columns from one or many tables, using the select from statement. for further information visit: http://msdn2.microsoft.com/en-us/library/ms189499(sql.90).aspx
Example: SELECT tbl_tarot FROM db_named
No Src Page: might be manual hacking ",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,SELECT tbl_tarot FROM db_named,,167.86.50.225,POST,comment,Body URL Encoded,test' AND (SELECT 6133 FROM (SELECT(SLEEP(6)))nOqb) AND 'RiUU'=,,TRUE,S1SELA,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46928
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (ZZ; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,43394,Database,Known Attack Types,Parameter Validation Failure,804714608,/contactus.php,Injections,SQL Injection,
Reported,"An attempt has been made to compare values using any of the following comparison operators: !, %3C3C, =, %3E3E, and NOT.","Database Security Filter intercepted a malicious request with a submitted parameter name/value, which includes a harmful expression.

Rule ID: ATACC2
Details: an attempt has been made to compare values using any of the following comparison operators: !, &lt;, =, &gt;, and not.
Example: 'hi'='hi'
No Src Page: might be manual hacking attempt !
Sus.Value: 0, 64:

Authenticated as Public
",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,'hi'='hi',,167.86.50.225,POST,comment,Body URL Encoded,test' AND (SELECT 6133 FROM (SELECT(SLEEP(6)))nOqb) AND 'RiUU'=,,TRUE,ATACC2,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46928
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (ZZ; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,43394,Database,Known Attack Types,Parameter Validation Failure,804714608,/contactus.php,Injections,SQL Injection,
Reported,attempt to inject the SQL command Sleep,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10507
Description: attempt to inject the SQL command Sleep (Severity: Medium)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,167.86.50.225,POST,comment,Body URL Encoded,test' and (select 6133 from (select(sleep(6)))noqb) and 'riuu'=,N/A,TRUE,10507,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46928
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (ZZ; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,43394,Vulnerabilities,Known Attack Types,Pattern Violation Detected,804714608,/contactus.php,Injections,SQL Injection,sleep\(\d
Reported,"An attempt has been made to compare values using any of the following comparison operators: !, %3C3C, =, %3E3E, and NOT.","Database Security Filter intercepted a malicious request with a submitted parameter name/value, which includes a harmful expression.

Rule ID: ATACC2
Details: an attempt has been made to compare values using any of the following comparison operators: !, &lt;, =, &gt;, and not.
Example: 'hi'='hi'
No Src Page: might be manual hacking attempt !
Sus.Value: 0, 64:

Authenticated as Public
",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,'hi'='hi',,167.86.50.225,POST,lastname,Body URL Encoded,test' AND (SELECT 6133 FROM (SELECT(SLEEP(6)))nOqb) AND 'RiUU'=,,TRUE,ATACC2,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46918
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,22268,Database,Known Attack Types,Parameter Validation Failure,814360152,/contactus.php,Injections,SQL Injection,
